Method,Alpha,Score
PIM,0,168.5666666666697
PIM,0.3,166.90000000000285
PIM,0.6,157.5666666666695
PIM,1,94.23333333333495
RL,0,147.90000000000293
RL,0.3,172.23333333333653
RL,0.6,137.566666666669
RL,1,-16.433333333333735
