Method,Alpha,Score
PIM,0,181.56666666666993
PIM,0.3,128.56666666666845
PIM,0.6,161.56666666666973
PIM,1,39.566666666665675
RL,0,190.90000000000322
RL,0.3,185.23333333333656
RL,0.6,69.9000000000014
RL,1,1.9000000000001935
