Method,Alpha,Score
PIM,0,167.2333333333362
PIM,0.3,155.2333333333357
PIM,0.6,153.90000000000248
PIM,1,92.56666666666841
RL,0,72.23333333333291
RL,0.3,176.56666666666976
RL,0.6,48.5666666666655
RL,1,14.566666666666675
