Method,Alpha,Score
PIM,0,168.233333333336
PIM,0.3,152.899999999995
PIM,0.6,118.899999999978
PIM,1,72.8999999999791
RL,0,183.233333333311
RL,0.3,159.566666666645
RL,0.6,28.899999999977
RL,1,40.233333333313
