Pilot,Average Reward,Total Timesteps
solo_laggy,572.3333333333508,5000
solo_noisy,1153.6666666666747,5000
solo_optimal,1858.9999999998495,5000
none,2272.666666666519,5000
laggy,2195.999999999884,5000
noisy,1962.9999999999213,5000
optimal,1644.3333333332678,5000
