Method,Alpha,Score
PIM,0,187.900000000003
PIM,0.3,186.899999999988
PIM,0.6,127.566666666645
PIM,1,164.566666666645
RL,0,182.566666666645
RL,0.3,173.899999999984
RL,0.6,163.23333333342
RL,1,135.23333333342
