Pilot,Average Reward,Total Timesteps
solo_laggy,588.6666666667144,5000
solo_noisy,1082.6666666666342,5000
solo_optimal,2241.999999999878,5000
none,-4426.666666666579,5000
laggy,-1150.0000000000748,5000
noisy,-1155.3333333333576,5000
optimal,-1873.3333333334106,5000
