Method,Alpha,Score,Real Score
PIM,0,175.233333333336,
PIM,0.3,40.2333333333387,
PIM,0.6,100.899999999988,
PIM,1,-35.766666666689,
RL,0,188.566666666644,
RL,0.3,169.233333333312,
RL,0.6,124.233333333312,
RL,1,-21.1000000000221,
