1,-0.00001,-0.00416,0.00416,63946
2,-0.00001,-0.04774,0.04773,732647
3,-0.00001,-0.04899,0.04899,750983
4,-0.00001,-0.05018,0.05018,768238
5,-0.00002,-0.03714,0.03713,216938
6,-0.00001,-0.04378,0.04377,436733
7,-0.00001,-0.04310,0.04309,429470
8,-0.00001,-0.04474,0.04473,445206
9,-0.00001,-0.04385,0.04384,435839
10,-0.00001,-0.04159,0.04158,412829
11,-0.00002,-0.04544,0.04542,220485
12,-0.00001,-0.04510,0.04509,333089
13,-0.00001,-0.03711,0.03710,273851
14,-0.00001,-0.04861,0.04860,617010
15,-0.00001,-0.04776,0.04775,408313
16,-0.00002,-0.03681,0.03678,165248
17,-0.00002,-0.04123,0.04121,271704
18,-0.00002,-0.04505,0.04503,296756
19,-0.00002,-0.04651,0.04649,306264
20,-0.00002,-0.04317,0.04316,284158
21,-0.00002,-0.04269,0.04267,280939
22,-0.00003,-0.04484,0.04482,170818
23,-0.00002,-0.04852,0.04850,257713
24,-0.00002,-0.04540,0.04538,241021
25,-0.00003,-0.04295,0.04292,151154
26,0.00092,-0.01352,0.01444,1569
27,0.00190,0.02361,0.02170,1141
28,0.00259,0.03108,0.02849,1101
29,0.00213,0.03051,0.02838,1330
30,0.00160,-0.00151,0.00311,195
31,0.00190,-0.02541,0.02730,1439
32,0.00197,-0.03465,0.03662,1861
33,0.00196,-0.00873,0.01069,546
34,0.00142,0.01083,0.00941,664
35,0.00170,0.00667,0.00497,293
36,0.00154,0.01811,0.01657,1076
37,0.00132,0.05154,0.05022,3802
38,0.00123,0.05011,0.04888,3965
39,0.00111,0.05677,0.05566,5029
40,0.00075,0.08339,0.08264,11003
41,0.00088,0.12044,0.11956,13593
42,0.00065,0.06670,0.06605,10098
43,0.00059,0.07959,0.07901,13449
44,0.00059,0.08440,0.08381,14189
45,0.00047,0.02306,0.02259,4797
46,0.00033,0.03277,0.03244,9883
47,0.00035,0.03062,0.03027,8629
48,0.00030,0.06520,0.06489,21326
49,0.00025,0.07410,0.07384,29029
50,0.00023,0.05471,0.05448,23383
51,0.00029,0.09461,0.09432,31999
52,0.00014,0.11171,0.11157,78294
53,0.00015,0.06788,0.06773,44272
54,0.00013,0.05907,0.05894,45274
55,0.00012,0.06134,0.06122,52714
56,0.00009,0.05730,0.05720,60942
57,0.00015,-0.03239,0.03254,21764
58,0.00005,-0.01732,0.01737,34508
59,0.00006,0.10900,0.10894,183741
60,0.00006,0.04238,0.04232,76074
61,0.00005,0.08455,0.08450,173436
62,0.00003,0.09660,0.09657,279749
63,0.00009,0.11515,0.11507,135201
64,0.00001,0.11400,0.11399,1372912
65,0.00003,0.12235,0.12232,430113
66,0.00004,0.11184,0.11181,304921
67,0.00001,0.09258,0.09257,853494
