Pilot,Average Reward,Total Timesteps
solo_laggy,436.66666666671546,5000
solo_noisy,1775.6666666665417,5000
solo_optimal,2169.666666666512,5000
none,-298.33333333327556,5000
laggy,1112.9999999999666,5000
noisy,1660.6666666665878,5000
optimal,1503.9999999999482,5000
