Method,Alpha,Score
PIM,0,134.56666666667
PIM,0.3,168.233333333332
PIM,0.6,167.566666666645
PIM,1,126.899999999979
RL,0,162.233333333311
RL,0.3,180.233333333311
RL,0.6,34.899999999978
RL,1,104.566666666694
