Method,Alpha,Score
PIM,0,183.90000000000313
PIM,0.3,136.23333333333602
PIM,0.6,132.2333333333351
PIM,1,118.23333333333613
RL,0,166.90000000000327
RL,0.3,164.90000000000327
RL,0.6,69.23333333333258
RL,1,107.90000000000137
