Method,Alpha,Score
PIM,0,152.2333333333358
PIM,0.3,165.56666666666936
PIM,0.6,137.56666666666928
PIM,1,83.2333333333333
RL,0,174.90000000000302
RL,0.3,178.56666666666962
RL,0.6,134.23333333333574
RL,1,24.899999999998954
