Method,Alpha,Score
PIM,0,166.9000000000032
PIM,0.3,163.90000000000302
PIM,0.6,154.90000000000285
PIM,1,123.23333333333554
RL,0,178.23333333333647
RL,0.3,119.23333333333665
RL,0.6,72.5666666666664
RL,1,60.56666666666571
