Method,Alpha,Score
PIM,0,134.5666666666686
PIM,0.3,51.56666666666663
PIM,0.6,155.56666666666925
PIM,1,-106.09999999999857
RL,0,131.90000000000353
RL,0.3,180.2333333333363
RL,0.6,3.566666666666412
RL,1,80.56666666666722
