Pilot,Average Reward,Total Timesteps
solo_laggy,991.000000000025,5000
solo_noisy,1353.666666666594,5000
solo_optimal,2688.6666666665105,5000
none,2240.9999999998563,5000
laggy,2214.99999999986,5000
noisy,1550.6666666666365,5000
optimal,1555.6666666665913,5000
